Time,GeoType,GeoID,GeoRank,Geography,Percent
2017,CD,414,6,Rockaway and Broad Channel (CD14),31.3
2017,CD,501,6,St. George and Stapleton (CD1),45.1
2017,CD,502,6,South Beach and Willowbrook (CD2),60.8
2017,CD,503,6,Tottenville and Great Kills (CD3),58.8
2017,UHF42,101,4,Kingsbridge - Riverdale,63.0
2017,UHF42,102,4,Northeast Bronx,36.0
2017,UHF42,103,4,Fordham - Bronx Pk,40.0
2017,UHF42,104,4,Pelham - Throgs Neck,46.0
2017,UHF42,105,4,Crotona -Tremont,32.0
2017,UHF42,106,4,High Bridge - Morrisania,21.0
2017,UHF42,107,4,Hunts Point - Mott Haven,18.0
2017,UHF42,201,4,Greenpoint,14.0
2017,UHF42,202,4,Downtown - Heights - Slope,22.0
2017,UHF42,203,4,Bedford Stuyvesant - Crown Heights,25.0
2017,UHF42,204,4,East New York,29.0
2017,UHF42,205,4,Sunset Park,29.0
2017,UHF42,206,4,Borough Park,24.0
2017,UHF42,207,4,East Flatbush - Flatbush,30.0
2017,UHF42,208,4,Canarsie - Flatlands,41.0
2017,UHF42,209,4,Bensonhurst - Bay Ridge,28.0
2017,UHF42,210,4,Coney Island - Sheepshead Bay,23.0
2017,UHF42,211,4,Williamsburg - Bushwick,18.0
2017,UHF42,301,4,Washington Heights,35.0
2017,UHF42,302,4,Central Harlem - Morningside Heights,29.0
2017,UHF42,303,4,East Harlem,31.0
2017,UHF42,304,4,Upper West Side,29.0
2017,UHF42,305,4,Upper East Side,22.0
2017,UHF42,306,4,Chelsea - Clinton,11.0
2017,UHF42,307,4,Gramercy Park - Murray Hill,13.0
2017,UHF42,308,4,Greenwich Village - SoHo,13.0
2017,UHF42,309,4,Union Square - Lower East Side,25.0
2017,UHF42,310,4,Lower Manhattan,24.0
2017,UHF42,401,4,Long Island City - Astoria,18.0
2017,UHF42,402,4,West Queens,24.0
2017,UHF42,403,4,Flushing - Clearview,38.0
2017,UHF42,404,4,Bayside - Little Neck,55.0
